Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Anaheim Angels,40,3.98,0.718,162,1458,1075,13071,6019,4357,1575,87,151,0.986,98,9
Arizona Diamondbacks,41,4.16,0.697,162,1458,1085,13020,5935,4340,1506,89,116,0.985,-4,0
Atlanta Braves,38,3.51,0.712,161,1449,1108,13206,6338,4402,1822,114,170,0.982,77,7
Baltimore Orioles,46,4.77,0.701,162,1458,1165,13056,6163,4352,1720,91,173,0.985,43,4
Boston Red Sox,39,4.1,0.702,162,1458,1150,13014,6087,4338,1645,104,140,0.983,62,6
Chicago Cubs,44,4.69,0.685,162,1458,1060,12972,5938,4324,1500,114,144,0.981,-55,-5
Chicago White Sox,35,4.93,0.706,162,1458,1168,12807,5961,4269,1595,97,157,0.984,13,1
Cincinnati Reds,43,4.78,0.69,162,1458,1071,13083,6254,4361,1773,120,169,0.981,1,0
Cleveland Indians,59,5.17,0.674,162,1458,1153,12822,6049,4274,1662,113,161,0.981,-49,-5
Colorado Rockies,43,5.54,0.691,162,1458,1081,12840,6093,4280,1701,112,158,0.982,34,3
Detroit Tigers,56,5.37,0.678,161,1449,1209,12726,6103,4242,1719,142,148,0.977,-41,-4
Florida Marlins,41,4.71,0.689,162,1458,1134,13107,6111,4369,1636,106,163,0.983,-13,-1
Houston Astros,41,4.29,0.687,162,1458,1048,13005,6081,4335,1663,83,149,0.986,-44,-4
Kansas City Royals,52,5.5,0.685,162,1458,1148,12969,6155,4323,1702,130,153,0.979,-21,-2
Los Angeles Dodgers,41,3.97,0.716,162,1458,1078,13119,6149,4373,1686,90,134,0.985,44,4
Milwaukee Brewers,49,5.07,0.696,162,1458,1099,12891,6033,4297,1633,103,154,0.983,-14,-1
Minnesota Twins,42,4.42,0.703,161,1449,1103,13002,5830,4334,1422,74,124,0.987,21,2
Montreal Expos,43,4.43,0.684,162,1458,1124,13077,6297,4359,1799,139,160,0.978,-13,-1
New York Mets,47,4.37,0.692,161,1449,1035,12984,6100,4328,1628,144,138,0.976,-23,-2
New York Yankees,37,4.33,0.688,161,1449,1145,13068,6007,4356,1524,127,117,0.979,-56,-5
Oakland Athletics,41,4.04,0.704,162,1458,1080,13068,6256,4356,1798,102,144,0.984,-6,-1
Philadelphia Phillies,39,4.5,0.705,161,1449,1147,13047,6137,4349,1700,88,156,0.986,24,2
Pittsburgh Pirates,37,4.53,0.693,161,1449,1016,12714,6252,4238,1899,115,177,0.982,11,1
San Diego Padres,59,5.03,0.675,162,1458,1004,12927,6118,4309,1681,128,162,0.979,-71,-7
Seattle Mariners,38,4.31,0.703,162,1458,1079,13008,5939,4336,1515,88,134,0.985,5,0
San Francisco Giants,38,3.8,0.705,162,1458,1089,12936,6032,4312,1630,90,166,0.985,38,4
St. Louis Cardinals,44,4,0.707,162,1458,1017,13017,6116,4339,1674,103,168,0.983,49,4
Tampa Bay Devil Rays,43,5.7,0.687,161,1449,1238,12963,6014,4321,1567,126,168,0.979,-8,-1
Texas Rangers,51,5.44,0.688,162,1458,1037,12957,6101,4319,1683,99,152,0.984,-22,-2
Toronto Blue Jays,45,5.11,0.69,162,1458,1188,12945,6035,4315,1613,107,159,0.982,-7,-1
League Average,40,4.62,0.695,162,1456,1104,12981,6090,4327,1656,108,152,0.982,2,0
